id	text	author	date
"285579367000727552"	"RT @RWwatchMA: MT @Marnus3: I wonder why Wayne LaPierre never exercised his right to bear arms in Vietnam? #NRA #p2 #mapoli"	"badwolf303"	"2012-12-31 02:53:21"
"285579225468121088"	"http://t.co/JWOBA2LR  Miss World 1966, Reita Faria from India in Vietnam for Bob Hope Show"	"HinduIDF"	"2012-12-31 02:52:47"
"285579129733144579"	"You are viewing search results for penpals from Vietnam. Penfriends Search helps you to find new friends! This is results of the ..."	"micaelaevyqlh"	"2012-12-31 02:52:24"
"285578877458341888"	"RT @Adolf___Twitler: "...that was my Vietnam. And I was in Vietnam.""	"smitty_1993"	"2012-12-31 02:51:24"
"285578847456460800"	"The new social networkting in VietNam. In version 1.0.0 supported register user, add friend and chat with friend... http://t.co/4cOVMIQ4"	"iFreeware"	"2012-12-31 02:51:17"
"285578846210764800"	"http://t.co/Hcs5MWKI Vietnam War medals stolen from Qld home: Five Vietnam War medals have been stolen from a hom... http://t.co/8di25s5i"	"VietnamVIP"	"2012-12-31 02:51:17"
"285578774467207168"	"RT @RWwatchMA: MT @Marnus3: I wonder why Wayne LaPierre never exercised his right to bear arms in Vietnam? #NRA #p2 #mapoli"	"bloomkeeper"	"2012-12-31 02:51:00"
"285578730989051905"	"RT @halcyon_spirit: @OfficialKimlee @RealKatNova hope your show goes successfully and you both win more fans #kimlee #vietnam #kimkat"	"RealKatNova"	"2012-12-31 02:50:49"
"285578724445929472"	"&lt;&lt;&lt; Brunei Darussalam &gt;&gt;&gt;  A sketch of Sultan Omar Ali Saifuddin Mosque.   [Dang, Vietnam] http://t.co/wfboDT7T"	"Asean1Community"	"2012-12-31 02:50:48"
"285578637992931328"	"@benfezloera imma fucking survivor ben! The Vietnam war can suck my dick."	"naingZaw90sKid"	"2012-12-31 02:50:27"
"285578557307109376"	"Korea is an abnormal country! http://t.co/VLWinSdk http://t.co/tC7AC0UC #Turkey #India #Thailand #Singapore #Vietnam #Peru"	"Alert_from_Asia"	"2012-12-31 02:50:08"
"285578536302039040"	"We're all over in the motherland (Vietnam). If you have Instagram, check out our photos #twkvn2012. Also playing a show @ rock fan club @ 9!"	"TheWeekendKids"	"2012-12-31 02:50:03"
"285578506388258816"	"PHILIPPINE AZKALS BATTLE VIETNAM - News - Bubblews http://t.co/IcMQGd6V #bubblews"	"jeannaej3"	"2012-12-31 02:49:56"
"285578455653945344"	"And I lost my baby brother, a best friend, and my left hand in a no win situation in a place called Vietnam."	"Roo_RooHF"	"2012-12-31 02:49:44"
"285578375022653440"	""@AzraaAidi: I'm from Vietnam, do you know that place? (^.^) where r u from??"	"Anna_Swiftie_13"	"2012-12-31 02:49:25"
"285578218176659456"	"@ChoiGoRen Hi Ren oppa!!I'm L.O./\.E in Vietnam ^^ I just want to say : I LOVE YOU~Take care of yourself and other member. ^^ I love Nu'est~"	"ZenKySanDy1"	"2012-12-31 02:48:47"
"285578216587022337"	"RT @TJ_Schnoor: @AJWilloughby3 @arich54 it's like Vietnam mixed with jaws"	"AJWilloughby3"	"2012-12-31 02:48:47"
"285578191945478144"	"omg family trying to talk about vietnam war prs stahp"	"elaainex"	"2012-12-31 02:48:41"
"285578165735272448"	"APT travel Vietnam. Steer clear. They are the worst."	"alfieSalgo"	"2012-12-31 02:48:35"
"285578147322273792"	"@diaframps It was a shame that I cant go to the show yesterday since I was a big fan of yours. Are u still in vietnam?"	"guitarismybff"	"2012-12-31 02:48:30"
"285578064258281473"	"The rules here are simple 'there are no rules'  @ Vin Pearl, Vietnam http://t.co/FvJhyIvU"	"GMANandRIZK"	"2012-12-31 02:48:10"
"285577967625715713"	"RT @Doc_JJK: The only Vietnam Vets for John F. Kerry were the North Vietnamese and Viet Cong. Fake, phony and back-stabbing fraud."	"laamigable21"	"2012-12-31 02:47:47"
"285577966245797888"	"Cinch the Mekong - Vietnam process stand first: .JXF"	"shivokov814"	"2012-12-31 02:47:47"
"285577952253587456"	"@anthonyyle I meant Vietnam* LOL cabra/vietnam same shit, different smell"	"nguyenalexx"	"2012-12-31 02:47:44"
"285577830392266754"	"You can't say cowboy fans are bandwagons fans though, haven't won a playoff game since Vietnam...."	"CoreyAndrew86"	"2012-12-31 02:47:15"
"285577814919499777"	"Breakfast in Vietnam http://t.co/rgffaOmq"	"Luca_faco"	"2012-12-31 02:47:11"
"285577723424960513"	"@krungy21 Love you unnie^_^ can't wait your performance tonight ^_^ from Vietnam"	"MykVIP"	"2012-12-31 02:46:49"
"285577715694829568"	"I'm probably embarrassing my mom on the phone with my ratchet music blastin. Have fun listening Vietnam."	"callme_chingo"	"2012-12-31 02:46:47"
"285577570592907264"	"RT @RWwatchMA: MT @Marnus3: I wonder why Wayne LaPierre never exercised his right to bear arms in Vietnam? #NRA #p2 #mapoli"	"veggienut"	"2012-12-31 02:46:13"
"285577431371358208"	"RT @MattOBoyle99: @ShaunMorashCBS Our family didn't have money to go to games. My dad rooted for Dallas because of Staubach and the fact he served in Vietnam."	"CoachRitt24"	"2012-12-31 02:45:40"
"285577415919550464"	"in vietnam havin fun and yesterday seeing the museum of the The Vietnam war  jt17"	"Jimmy_Tee17"	"2012-12-31 02:45:36"
"285577392297234434"	"them combat boots look dumb as shit, this isn't the vietnam war people"	"nickleberry_fin"	"2012-12-31 02:45:30"
"285577360126922752"	"My dad served with this division in #vietnam pretty sweet logo if you ask me http://t.co/HCiyqU18"	"1andonlygrovey"	"2012-12-31 02:45:23"
"285577337980989441"	"It is really heartwarming when hearing that the family of my old patient visit my family in Vietnam today. Be strong on next 2 interviews!"	"yenthanh_mac"	"2012-12-31 02:45:17"
"285577265725718529"	"I remind you these the same FBI treasoners who left everyone in Vietnam"	"Uknowndevildawg"	"2012-12-31 02:45:00"
"285577175581749250"	"RT @RWwatchMA: MT @Marnus3: I wonder why Wayne LaPierre never exercised his right to bear arms in Vietnam? #NRA #p2 #mapoli"	"CmonPplNow"	"2012-12-31 02:44:39"
"285577160574529536"	"RT @buell003: @buell003: #DHS #Pasadena &amp; SD PD endorsed by the often violent FBI against civil rights mvmt, anti-Vietnam, #Occupy! @magikarp424 #Occuchat"	"Mel__Lowe"	"2012-12-31 02:44:35"
"285577143822475264"	"@siwon407 Have a joyful day,oppa :) Hope you have time with your family.And take care,pls :) Big hug from Vietnam http://t.co/XkHxDzfI :x"	"SiwonHeart407"	"2012-12-31 02:44:31"
"285577058271248384"	"@mrdanteinferno May you celebrate and enjoy the simple pleasures of life in the coming year. Stay safe and take care! Love from Vietnam! ♥ ♥"	"ceka_classical"	"2012-12-31 02:44:11"
"285576980043276288"	"@ShaunMorashCBS Our family didn't have money to go to games. My dad rooted for Dallas because of Staubach and the fact he served in Vietnam."	"MattOBoyle99"	"2012-12-31 02:43:52"
"285576921826353152"	"National Geographic Live! : Vietnam's Infinite Cave | http://t.co/HEQFtXXl"	"robbie_robsz"	"2012-12-31 02:43:38"
"285576892961132544"	"@BertCarson 's MADDOG &amp; MISS KITTY: A Review http://t.co/rpaJQ1Ek #veterans #PTSD #vietnam You'll be riveted!!"	"jvonbargen"	"2012-12-31 02:43:31"
"285576849940168705"	"RT @rivernewstc: On this date in 1972, the United States halted its heavy bombing of North Vietnam."	"DispatchDemon"	"2012-12-31 02:43:21"
"285576834068934656"	"[Hello Saigon!] What’s the last Word in 2012? http://t.co/e0AdNHm9 @lyraliza #saigon, #vietnam"	"SaigonBlogs"	"2012-12-31 02:43:17"
"285576805048528896"	"Cannae Sleep excitement of #newyear perhaps or  anxiety about #favouritedaughter in Vietnam"	"MagdaAng"	"2012-12-31 02:43:10"
"285576738350702592"	"RT @Doc_JJK: The only Vietnam Vets for John F. Kerry were the North Vietnamese and Viet Cong. Fake, phony and back-stabbing fraud."	"stickggs"	"2012-12-31 02:42:54"
"285576479927058432"	"On this date in 1972, the United States halted its heavy bombing of North Vietnam."	"rivernewstc"	"2012-12-31 02:41:53"
"285576330928615424"	"@AJWilloughby3 @arich54 it's like Vietnam mixed with jaws"	"TJ_Schnoor"	"2012-12-31 02:41:17"
"285576320669339648"	"You cannot say that you Love Vietnam or Vietnamese Cuisine if you still does not eat this food ~ As you clearly... http://t.co/Rs8l4Muy"	"MimieChika"	"2012-12-31 02:41:15"
"285576310871453699"	"Brother so stupid. Going Vietnam before chinese new year. Just a warning though, I'm gonna take all your red packets."	"ChoiXinni"	"2012-12-31 02:41:12"
"285576271688261632"	"@jinilyn Do you know those Vietnam version to study Vietnamese for me?"	"HiroshigeJay"	"2012-12-31 02:41:03"
"285576173453467649"	"I liked a @YouTube video http://t.co/Gy3Jvf2E My Vietnam- P!nk LYrics"	"Shibbywonder"	"2012-12-31 02:40:40"
